max0_1,max0_2,max0_3,max1_1,max1_2,max1_3,label
2530,1962,1606,44,23,14,1
3725,2852,2797,48,21,14,0
3594,3590,2680,30,11,3,0
3863,3688,3304,218,144,61,0
5525,5303,4022,1151,798,634,0
2341,2144,1965,26,10,4,0
5179,4130,3950,24,17,15,1
2612,2426,2053,15,10,7,0
2346,1884,1471,65,59,54,1
4226,3898,3520,103,72,26,1
2196,2057,1982,50,12,3,1
2810,2432,2083,50,40,18,0
2575,2443,2263,189,188,78,0
3259,2986,2984,229,22,9,0
4573,3894,1964,96,78,18,0
3758,2934,2615,34,8,7,0
7421,6809,6102,29,22,15,0
2652,2386,2225,56,50,27,0
2251,1700,1467,120,37,31,1
1940,1562,1465,16,13,2,0
2712,2635,2077,40,30,20,0
3030,2119,1922,25,19,11,1
5423,5017,2505,55,32,12,0
6576,4872,4730,1101,983,708,0
3525,3090,2838,624,369,300,1
3545,3511,3137,341,316,61,1
2479,2398,2109,1,0,0,0
3556,1973,1968,18,1,0,0
2965,2186,2127,67,25,8,0
3510,1988,1789,2,1,0,0
7160,5807,5354,2074,1321,466,0
3543,3397,2579,33,29,28,0
3575,3574,2922,40,26,24,0
5830,5285,4413,1140,1125,235,1
2686,2426,1804,389,190,54,0
4456,3471,3334,271,45,11,0
3457,2786,2776,227,78,25,1
5003,3726,3190,121,90,68,1
5327,5321,5198,2556,1016,580,1
1872,1661,1501,137,61,32,1
5062,3846,3492,155,126,79,1
3682,3420,3013,10,7,1,1
2431,1683,1333,121,70,67,0
2271,2240,1945,4,3,2,0
2699,2572,2176,55,34,2,1
3841,3759,3562,28,19,12,0
2641,2525,1706,17,15,14,0
2254,2243,2031,153,80,41,1
3482,2620,2585,267,58,3,1
3419,2212,2189,3,1,0,0
2997,2767,2264,46,32,29,0
2560,2526,2406,13,7,3,0
5695,4307,4096,840,642,563,0
3409,2985,2357,100,25,8,0
3137,2325,2272,52,17,13,0
2604,2316,2058,14,12,11,1
3484,2453,2268,362,282,69,0
7125,6396,5117,3671,3580,2347,0
2637,2532,1931,76,39,25,0
3510,3270,3001,30,21,11,0
1940,1689,1624,51,45,21,1
1865,1859,1851,105,16,12,0
2304,2302,2161,57,42,30,0
1973,1784,1740,17,14,7,1
2499,2361,1727,172,31,19,1
2503,2343,2321,60,48,13,1
4339,3967,3625,245,28,7,0
3499,3346,3049,2568,688,111,0
4224,3966,2691,1091,41,37,1
2801,1848,1770,33,7,6,0
3044,2510,2393,114,106,94,1
3682,3646,3226,115,21,12,0
2780,2669,2416,83,67,28,1
2633,2423,2361,26,21,17,0
2841,2596,2505,14,9,6,0
3254,3106,2904,195,53,22,0
3436,3160,2878,372,58,51,0
4222,4003,3975,66,19,15,0
5827,5514,5365,209,132,24,0
2102,2016,1806,301,146,29,0
3511,2481,2430,84,57,33,0
5061,4421,4037,424,307,157,1
3776,3098,2615,138,105,43,0
3062,2787,2738,152,45,36,0
